


本科毕业论文（设计）

题目： 基于微信小程序的英语随时学的设计与实现                                      
  




　　　　　　　学       院：   信息科学与工程学院          
　　　　　　　专       业：   计算机科学与技术        
　　　　　　　学 生 姓 名：   杜  恒              
　　　　　　　学       号：   632107060410      
　　　　　　　指 导 教 师：   周  翔              
　　　　　　　评 阅 教 师：                       
　　　　　　　完 成 时 间：   2025年5月20日     
　　　　　　　　　
                   重庆交通大学
CHONGQING JIAOTONG UNIVERSITY

本科毕业论文（设计）原创性声明
　　本人郑重声明：所提交的毕业论文（设计），是本人在导师指导下，独立进行研究工作所取得的成果。除文中已注明引用的内容外，本论文不包含任何其他个人或集体已经发表或撰写过的作品成果。对本文研究做出过重要贡献的个人和集体，均已在文中以明确方式标明。
　　本人完全意识到本声明的法律后果由本人承担。
　　作者签名（亲笔）：                    年     月     日
-------------------------------------------------------------------------------------------------
本科毕业论文（设计）版权使用授权书
　　本毕业论文（设计）作者完全了解学校有关保留、使用学位论文的规定，本科生在校攻读期间毕业论文（设计）工作的知识产权单位属重庆交通大学，同意学校保留并向国家有关部门或机构送交论文的复印件和电子版，允许论文被查阅和借阅；本人授权重庆交通大学可以将毕业论文（设计）的全部或部分内容编入有关数据库进行检索，可以采用影印、缩印或扫描等复制手段保存、汇编毕业设计（论文）。
    作者签名（亲笔）：                    年     月     日
　　导师签名（亲笔）：                    年     月     日











摘    要
　　在数字经济盛行的当今环境下，人工智能大模型以及软件技术的迅速兴起，越来越多的英语学习者对于英语的学习更倾向于数字化学习。基于微信小程序的英语学习平台因其便捷性，即时性和个性化服务优势，逐渐成为现代语言学习的重要工具。本文为了满足用户多样化的英语学习需求，设计并实现了一个基于微信小程序的英语随时学的平台，此平台融合了智能化推荐算法以及交互式学习模式，其主要功能模块包括：基于用户学习水平的个性化单词推荐、多功能单词学习、精准化单词测试、人工智能文本对话答疑、英语发音评测助手以及完善的后台管理系统。系统通过智能化途径和自适应算法极大的提高用户英语学习水平，通过人工智能赋能英语学习实现普惠化，本系统研究主要介绍该课题的研究背景，开发环境，系统总体设计，系统的详细设计以及该平台各功能模块的测试。

关键词：英语学习；微信小程序；人工智能；英语发音评测助手；个性化推荐；



Design and Implementation of an Anytime English Learning WeChat Mini-Program  

Abstract 
　　With the rapid technology development，AI and soft skill are also reshaping the style of English learning quickly.More and more English learners now prefer to choose the flexible and convenient tech-based studying.In response to this trend，thesis designed the uniapp base don Wechat applets to help user to improve the quality of English Learning.The English learning platform based on WeChat mini programs has gradually become an important tool for modern language learning due to its convenience, immediacy, and personalized service advantages. The platform provides a user-friendly vocabulary recommendation, learning exercise, interactive AI dialogue training, progress monitoring with a variety of learning tools. It integrates the popular spread advantage of WeChat with artificial intelligence technology and implements an interactive method by choosing the front-end applet framework on the one hand and the back-end natural language processing model on the other hand.The experiment verified the feasibility of the main functions of the platform (i.e. personalized word recommendation and intelligent AI dialogue), and the research results indicate that the lightweight AI mobile platform can effectively help language learning, particularly suitable for learners with the pursuit of convenience. The work should be improved and optimized on the capability of dialog situation understanding and the adaptive learning function in the future.This work validate the role of integration between user-friendly smartphones apps and artificial intelligence to empower digital age the language learning equity.The system greatly improves users' English learning level through intelligent approaches and adaptive algorithms, empowering English learning with artificial intelligence to achieve universality. 
Keywords: English learning; WeChat mini-program; artificial intelligence; English Pronunciation Assessment Assistant; Personalized recommendations;

目    录

摘    要	II
　　采用Uniapp框架进行开发，因其有其独特的优势--即采用一次开发多端部署，Uniapp框架为项目的开发提供了高效的运行效率。Uniapp将Vue文件中的Template和Style编译成WXML识别微信小程序识别的WXSS文件，以构建醒目的框架和美化样式的使用，在基于Vue.js框架的跨平台开发Uniapp进行开发搭建时，即可采用Uniapp本身的开发组件库，如在该系统的统计用户所处的地址时一般采用Uniapp的getLoaction()方法，就在该系统内使用；从技术架构层，基于Uniapp框架的开发架构，就是将整个项目模块拆分为一个个可复用的组件，如在该系统中的单词卡片组件、听力学习组件、口语测评组件等等，在本系统研究中充分利用了Uniapp框架的组件式开发模式、响应式数据绑定特性，卡片式的方式体现，让英语随时学小程序模块页面制作上就极为方便；在界面实现层面上，严格遵循了微信小程序的设计规范和用户体验准则，同时把可调节播放速度的音频控件、支持手写输入的单词练习板等丰富的UI组件库进行合理化运用，在不同尺寸屏幕的移动设备上均可智能适配。项目团队针对英文字母学习过程中对应场景的功能要求，还设计实现了自定义播放速率音频条、单词抄写板等相应的交互组件，学习者在交互体验和使用上得到了进一步优化。
　　是否具有安全性和稳定性是小程序框架选取中仍要考虑的重要因素。由于将安全机制内嵌于UNIPUE框架中的微信小程序沙盒环境中，从而为系统提供双安全保障。同时在UNIPUE的框架中提供的性能监控工具帮助研制组及时发现和针对高并发状况下的潜在瓶颈问题，确保系统能够平稳运行。
　　通过上述的描述可以得知，随着Uniapp框架的不断更新的优化以及微信小程序生态环境的不断优化，使用基于Vue.js框架的微信小程序框架Uniapp的小程序端开发框架可以大大的为基于微信小程序的英语随时学系统提供坚实的保障基础，为后期系统维护大大的降低了成本。
2.3.2  后端框架
　　在系统的后端架构过程中，本项目主要采用的是Spring的生态体系来作为核心技术支持，在本系统的开发工作中主要采用的是SpringBoot和Spring FrameWork，以此来构建出一格高效，稳定且容易扩展的服务端系统。Spring FrameWork作为企业级Java开发的行业标准，其主要工作原理就是通过注入依赖和面向切面编程即AOP机制，使得系统的架构更加的灵活。在基于微信小程序的英语随时学系统的开发与设计过程中，还需要涉及到对数据库的操作，因此后端框架中除了需要使用SpringBoot的框架，还需要使用Java与数据库连接的桥梁即MyBatis。
　　因此后端框架主要是以SpringBoot+MyBatis的技术进行设计，该技术选型不仅满足了当前业务需求的高效开发，还具备良好的微服务兼容性，支持着后续系统功能的平滑扩展。通过这一框架组合，在保持高性能系统的同时，还兼顾了整个系统代码的可维护性以及团队的协作效率，
2.3.3  后台管理框架
　　在本文的后台管理系统开发中，分别利用分层技术及成熟稳定的技术组件，并实现后台高效与用户良好使用体验，系统后端采用的是成熟的SSM(Spring+SpringMVC+MyBatis)技术栈，前端则应用的是Bootstrap+jQuery技术栈，形成了一套企业级开发工具。
　　SSM组合的后端是SSM框架架构，由于Spring是基于IoC和AOP组件的，SpringMVC是MVC设计模式，MyBatis是底层框架，其特点是对底层框架支持较多，而且原生SQL执行速度更快，代码较简单易学，又较好保持了各层次之间的代码的分工，对维护有利。前端处理。系统的前端处理利用了Bootstrap框架对响应式的支持，使系统的管理页面在不同屏幕尺寸设备中都具有很好的展示体验；大量的预定义组件(表单、按钮、导航等)大大加快了系统的前端页面制作过程。使用jQuery框架方便快捷地进行DOM操作和非同步数据交互，将繁杂的前端逻辑很好地表现出来。
　　该设计满足了现阶段管理系统所需功能的前提下，其良好的可扩展性也给未来系统的升级留有一定的余地，合理又实用地选择了系统技术。
2.4  系统架构
　　本项目采用前后端分离架构（Frontend-Backend Separation Architecture），这一架构模式在学术界与产业界也被称为"客户端-服务端解耦"(Client-Server Decoupling)，是当前软件开发领域广泛采用的高效架构范式。该设计理念的核心价值在于明确划分展示层（前端，Frontend）与业务逻辑层（后端，Backend）的职责边界，通过规范化的通信协议实现两者的高效协同。
　　前端子系统专注于用户交互体验与界面渲染，基于HTML5、CSS3、ECMAScript等现代化Web标准构建，通常采用Vue.js、React、Angular等主流前端框架，通过组件化开发模式实现高内聚、低耦合的界面组织。前端工程通过标准化的HTTP/HTTPS传输协议与后端服务进行数据交互，完成信息获取与操作指令传输[30]。
　　后端系统作为业务核心，承担数据处理、逻辑运算与系统服务等关键职能，主流实现技术包括但不限于Spring Cloud（Java）、Express（Node.js）、Django（Python）等企业级框架。后端通过精心设计的接口服务（如RESTful API、gRPC等）向前端暴露业务能力，执行包括数据持久化、身份鉴权、事务管理等重要操作，并集成关系型数据库（如MySQL）或NoSQL数据库（如Redis）实现数据的高效存储与检索，Redis具有很强的存储效能，可以替代JWT技术来实现token的令牌环的设置，实现登录的持久性。
　　接口规范作为前后端协作的契约标准，明确定义了数据传输格式（JSON/Protocol Buffers）与交互协议（HTTP/WebSocket）。借助完善的接口文档工具（如Swagger UI、Apollo GraphQL），开发团队能够实现并行开发流程，降低系统模块间的依赖性，有效支持敏捷开发方法论与自动化部署流水线（CI/CD Pipeline）的实施。
2.5  相关技术简介
2.5.1  MyBatis
　　MyBatis技术是一种广泛在Java领域中应用的开源的持久化框架，其支持定制化SQL，存储过程以及高级映射，可以在实体类和SQL语句之间建立起映射关系，是一种半自动化的ORM实现，避免了几乎所有JDBC代码和参数的手动设置，以及对结果集的检索过程。MyBatis技术可以于Spring等框架无缝集成，为Java开发者提供更加便捷的数据库操作方式[22]。该框架通过提供直接对SQL操作的能力，使得开发者能够利用原生的数据库操作语言来实现对DataBase的操作，充分的发挥了不同数据库特有的功能，此特点也使得MyBatis技术在应对复杂数据库操作例如多表查询时或者性能调优场景时展现出独特的优势。
　　MyBatis技术区别于全自动化的ORM解决方案，其采用的是XML配置文件或者使用注解的方式，例如对数据库的四大核心操作即增删改查，如果需要对数据库进行增加，则可以添加注解@Insert()，并在括号中写入增加SQL语句；同理可以得知，如果想要进行删除，修改或者查询操作，则需要依次使用注解@Delete()，@Update()，@Select()的注解，这种方式将SQL语句与Java接口方法进行动态的关联，有效的实现了数据访问层与业务逻辑层的对接。
2.5.2  MySQL
　　通过查阅相关MySQL技术的相关文献，MySQL是一种关系型数据库管理系统，其将数据保存在数据库中的不同表中，而不是将所有数据都放置在一个大的数据仓库中，这样可以增加系统运行速度并提高灵活性。MySQL作为一款开源软件，支持跨平台使用，能够运行在各种操作系统上。与此同时，MySQL支持多线程处理，能够服务于客户端。MySQL使用的是结构化查询语言进行数据访问和管理，因此具有体积小，速度快，使用成本低等特点，由于MySQL对外开放源码，因此对各大平台的开发过程中的数据存储，MySQL依旧是备受欢迎的，MySQL数据库主要分为服务器和存储引擎两部分，当用户发出指令时，服务器首先对数据操作进行分析，处理以及优化，然后将任务交给存储引擎执行相应的SQL的存取操作[23]。在基于微信小程序的英语随时学系统中，由于数据量的大小以及考虑到系统开发成本，因此MySQL技术因其独特的优点作为了本次开发中数据存储的关键工具。
2.5.3  AI文本对话
　　科大讯飞是国内最优秀的智能语音和人工智能企业，AI语音交互是目前中文语音交互水平的最高版本。讯飞利用拥有自主知识产权深度全序列卷积神经网络(DFCNN)、注意力机制等方法建立了完备的人工智能语音交互技术，语音识别、语义分析、语音合成三大技术目前处于业界领先位置。
　　语音识别。在复杂的识别场景中，讯飞语音识别引擎依然具有非常高的识别准确率，其独家技术多说话人识别可以边听边分清、识别多位说话人，包括嘈杂环境以及夹杂方言的普通话，在98%以上的时候也依旧可以有效识别；在语义的分析处理上，讯飞超大量知识图谱以及自适应领域模型可以充分理解用户的真实意图，实现多轮语义的上下文关联以及基于多领域学习迁移能力。
　　语音技术层：智能语音交互终端产品所使用的语音合成技术主要为讯飞开发的端到端语音合成技术生成有表情的人类化声音，其中最新推出的多风格多情感的合成技术能模拟不同年龄、性别、情感语音等。广泛应用于智能外呼、车内语音交互、智能家居交互等领域的终端产品上，开放平台的服务已经累计超过50亿次/天，在用户生活的智能终端上，不断改变着人们的交互方式。
2.5.4  Redis技术
　　Redis是一款开源的高性能内存数据库，它以出色的读写速度以及灵活的数据结构而闻名，在缓存、会话管理以及实时数据处理等诸多场景中都有广泛应用，作为现代分布式系统里的关键部分，Redis支持字符串、哈希、列表等多种丰富的数据类型，还有持久化、事务以及集群等企业级功能，以此保障数据的安全与高可用性。
　　Redis独特的内存存储架构可实现每秒进行数十万次操作，同时借助RDB快照和AOF日志这两种持久化机制来保证数据的可靠性，在分布式环境当中，Redis支持主从复制、哨兵模式以及集群模式，可较为轻松地应对高并发访问以及海量数据存储的需求，在身份认证领域，Redis特别适合用于管理Token登录验证机制。当用户登录成功之后，系统会生成唯一的Token并将其存储到Redis当中，同时设置合理的过期时间，每次发起请求的时候，服务器只需要快速在Redis中查询来验证Token的有效性，而不用频繁地去访问传统数据库，这样能大幅提高认证效率，Redis的自动过期特性可以保证Token按时失效，而黑名单机制则可立刻废止特定的Token，有效提高系统的安全性。这种方案很好地融合了无状态认证的扩展性和集中式管理的可控性，支持分布式部署，又可以防止Token被盗用的风险，借助Redis实现的Token验证系统，响应速度快，还可轻松应对高并发登录场景，为现代Web应用以及微服务架构提供了可靠的身份认证解决方案，成为开发者构建安全、高效认证体系时首选的技术。
2.5.6  WebSocket
　　本文研究里，Websocket 的运用主要集中在用户与科大讯飞人工智能的文本对话这一技术上，WebSocket 是一种基于 TCP 的全双工通信协议，它在客户端和服务器之间构建持久化长连接，达成了高效且低延迟的实时双向数据传输，和传统 HTTP 协议不一样，WebSocket 在初始握手阶段，也就是基于 HTTP 的 Upgrade 机制完成连接后，不用再重复建立连接就能持续通信，避免了 HTTP 轮询造成的性能损耗。该协议运用轻量级的帧结构传输数据，支持文本和二进制格式，还允许服务器主动推送消息，让在线聊天、实时协作、金融行情推送、在线游戏等场景能实现毫秒级响应，WebSocket 默认用 "ws://"和 "wss://"协议标识，内置心跳机制，也就是 Ping/Pong 检测连接健康状态，同时支持扩展协议，比如 STOMP 实现更高级的消息路由功能，是现代实时 Web 应用的核心技术之一。
2.5.7  Nginx
　　NGINX是一款高性能、多进程模型构架的事件驱动异步非阻塞架构的HTTP和反向代理服务器，由一个主进程、管理多个负责管理的主进程以及利用EPOLL/KQUEUE等I/O多路复用技术的工作进程组成，具有处理请求多、连接多和效率高的特点。每个工作进程可处理上万个请求，避免了传统多进程模型上下文切换带来额外开销，利用内存池降低了内存频繁分配和释放的开销，零拷贝技术提高了静态内容传输效率，NGINX在反向代理模式下，通过轮询、权重等负载均衡算法实现对NGINX的负载均衡处理；为了减轻后端压力，可以对后端服务器进行分发，同时可以缓存响应。再加上其模块化设计，如HTTP模块、Mail模块以及灵活的配置系统使功能扩展成为可能，而Master-Worker架构可保证当Worker崩溃时可自动重启主进程的高可靠性。这些特性都使得NGINX具备适用于网关、负载均衡等应用，具有高并发、占用资源少、高稳定性等优点。
2.6  本章小结
　　在本章节中详细阐述了基于微信小程序的英语随时学系统的开发环境和技术架构选型，其中作为小程序客户端的开发主要采用的是HbuilderX软件进行uniapp的开发，其中使用的主流设计框架为Vue.js框架，对于系统管理员网页端，主要使用的开发工具是IntelliJ IDEA集成开发环境，对系统后端的管理员前端的设计工作提供了环境支持，后端开发过程中，主要采用的框架为SpringBoot+MyBatis。通过上述的阐述，可以帮助开发人员简化后续的开发工作。
　　
　　
　　


第三章 系统可行性与需求分析
3.1  系统目标
　　本研究旨在设计并开发一款基于微信小程序的智能英语学习平台--"英语随时学"，通过整合互联网技术与人工智能大模型，推动英语学习的数字化转型。平台基于用户学习行为分析，结合系统化的英语学习资源，为用户提供随时随地的个性化学习体验。
　　在功能设计上，本研究融合了"劳逸结合"的现代教育理念，创新性地开发了"单词消消乐"游戏模块，以趣味化方式提升用户学习动机并缓解学习疲劳。平台采用阶梯式学习体系，将英语学习科学划分为8个渐进难度等级，确保用户能够循序渐进地提升语言能力。此外，单词资源库严格参照现行教育标准构建，确保学习内容的规范性与适用性，最终实现"人人可学"的普惠性教育目标。
　　
3.2  系统可行性分析
　　针对基于微信小程序的英语随时学的系统的设计与实现的可行性研究种，这需要从多个角度进行全面的评估，需要从经济可行性，技术可行性，用户操作可行性以及法律可行性等方面进行全方位的分析与实现，在对于本系统的可行性分析中，主要是按照上述五种可行性分析策略展开，从而保障该系统具有长期的运营潜力。
3.2.1  经济可行性
　　基于微信小程序的英语随时学系统相较于传统的APP开发具有显著的成本地优势，因为微信提供了完备的开发地框架以及丰富地AI接口，为了保证数据地安全性，可以结合微信开发者工具中的云开发控制台中建立自己地云环境后，自行设置云函数，实现私密数据管理地安全性能，以上地过程使得开发者无需从零开始构建开发地基础框架，真正的实现了大大降低开发的技术难度以及时间成本；小程序的开发语言主要依赖于Vue即基础的js，html以及css，学习进度曲线平缓，大大降低了用户的学习成本，降低了系统的维护成本。

3.2.2  技术可行性
　　在开发该系统时，需要详细考虑该系统的技术可行性，由于该系统的开发在技术可行性方面具备着坚实的基础。由于客户端小程序的开发主要使用的环境是基于HbuilderX软件与微信开发者工具相互共同作用构成的开发环境，由于HbuilderX软件与微信小程序软件开发与软件编译运行平台是对外开放且免费使用的，并且开发语言与系统管理员端的开发框架内容类似，都是基于Vue的开发框架搭建的。主要的学习内容就是对js，css以及html语言进行深入的学习与探测；在该系统的后端开发中，主要的开发技术栈就是SpringBoot+Mybatis+Redis+Mysql的开发框架，其中SpringBoot是基于tomcat服务器搭建的框架，大大降低了开发者自行部署环境的步骤，Mybatis技术主要是实现与数据库之间的数据交互，实现数据库中的多表查询操作或者复杂操作，由于Mybatis Plus的开发过程中无法实现对于多表之间的操作，因此在本系统后端的开发中并未应用，Redis数据库可以实现基于Token的设置，实现用户的持久登录，对于Mysql技术，主要是实现数据库表的设置，用于存储数据库，以上的开发技术对于开发者均免费，因此在开发整个系统时是具有充分的开发可能性。
　　在腾讯公司推出微信小程序开发时，其旗下的微信开发者文档也详细的阐述了微信小程序开发的诸多功能的解释以及问题情况的解决办法，这为开发者在开发过程中的问题处理以及功能实现提供了极大的帮助。
3.2.3  用户操作可行性
　　在用户操作可行性上，英语在任何时间学习微信小程序都是天然的优势所在。作为国民级应用的微信，用户已经很熟悉它的操作界面和交互方式，小程序继承了微信统一的UI设计规范，用户可以上手使用，不需要学习新的操作方式。研究显示，用户对微信生态内各种操作的接受程度非常高，包括学习活动，用户的受教育成本大大降低。
　　从用例分析，微信小程序在英语碎片化学习的需要上，与即时即走的特点是完美契合的。用户不需要专门安排学习时间就可以在等车、排队等零散时间随时打开小程序进行学习。在日常生活中这种无缝整合的学习方法使用户在坚持使用方面的可能性得到了明显的提高。小程序支持加入到"我的小程序中"或者桌面快捷方式中来，用户进入学习状态可以通过最方便的路径得到进一步的降低访问门槛。
　　从交互式设计的角度来说，在任何时间学习英文都能按照微信的官方设计指南来保持界面风格的简洁直观。学习功能可以作为卡片式的版面进行设计，将每天的学习任务进行明确的展示；采用可视化的图表进行进度跟踪，使使用者对学习成果一目了然；提醒功能可以温和地促使用户坚持学习，结合微信服务通知进行。这些设计与操作路径短、学习成本低的现代移动应用用户习惯相契合。
　　英语学习者的年龄分布从用户群体特征考虑与微信用户尤其是大学生、年轻职场人士高度重合，既是英语学习的主力军，又是微信的活跃用户，英语学习者在年龄分布上与微信用户的年龄分布有很大的关系。这部分人群接受移动学习的程度很高，对智能手机操作的熟练程度也比较高，能够很快地适应学习模式的小型程序。针对不同英语水平的用户，保证每个用户都能获得个性化的学习体验，通过初始测试来自动适配学习内容和难度。
　　微信小程序从使用者留存机理上为用户提供多种促进用户不断使用、相互监督的利器。学习小组功能可以通过微信社交关系链来实现，彼此之间相互监督，相互鼓励；能够针对用户展示学习成果的需要，设计出满足用户表现需求的成就系统和分享机制；学习报告和进步曲线可以经常推送，这样可以增强用户的学习动力。这些设计元素的社交化、游戏化，能够有效的提升用户的黏性。
　　微信小程序从无障碍接入的角度进行评测，支持能够满足不同用户的可访问需求的字体大小调整和高对比度模式。对于英语学习应用来说，保证各类用户都能流畅使用，还能提供语音调速、显示字幕等辅助功能。综合来看，能够为目标用户群提供流畅便捷的学习体验的《英语随时学小程序》在用户操作层面的可行性很高。
3.2.4  法律可行性
　　随时在法律上拥有较高可行性、开发运行过程严格遵守我国现行互联网法律法规和微信平台相关政策的英语学习微信小程序在法律层面的可行性很强。在数据隐私保护方面，小程序只收集必要的用户信息(如微信昵称、头像用来登录、以及学习进度数据)，并采取加密存储和传输措施，在提供明确隐私政策说明、保障用户知情权、选择权的同时，严格遵循《个人信息保护法》(PIPL)、《数据安全法》和《网络安全法》的要求。在知识产权合规方面，为避免侵犯教材著作权或第三方内容权益，同时保证AI生成内容(如图例句、题目不涉及抄袭风险)，小程序所使用的英语学习内容均为合法授权的资源或开源数据。另外，《网络信息内容生态治理规定》要求，小程序内容严格审核，杜绝任何违法违规信息，并设置符合《网络信息内容生态治理规定的用户举报机制。小程序在用户协议和免责声明方面，对服务范围、用户权利义务、使用权义务等进行了明确界定，并合理规避了因网络波动或第三方服务故障而造成的学习中断责任，并对涉及到的网上支付或会员订阅功能进行了明确界定。小程序在法律风险控制、隐私保护、知识产权管理、合规经营等方面，对可能涉及的网上支付或者会员订阅功能，都进行了严格遵循，做到了安全透明，安全稳定。
3.3  系统功能需求
　　本段旨在描述基于微信小程序的英语随时学系统功能模块的核心功能需求。本平台采用需求驱动的架构设计，深度整合学习行为分析与用户画像，构建包含个性化学习账户、沉浸式视听学习模块和智能化学习管理中台的全方位英语学习生态。通过敏捷开发方法论，我们实现了从用户学习场景到教学管理的无缝衔接，打造了具备实时学习数据反馈和动态内容调优能力的智慧英语学习解决方案。
　　3.3.1  客户端模块
　　面向普通用户与VIP用户，提供英语学习全功能支持，包括：账户管理、多阶段单词学习与测试、错题自动收集与复习、单词章节默写、游戏化学习（单词消消乐），以及学习数据可视化分析。VIP用户额外享有发音评测和精准题库特权。  
　　3.3.2  系统管理员模块
　　供后台系统管理人员使用，核心功能包含：用户行为监控与账户管理、学习资源（单词/文章）的增删改查、错题与默写数据统计分析，以及通过多维图表展示用户活跃度、地域分布等运营数据以及包括个人信息的修改与维护。  
　　3.3.3  客服模块
　　集成AI智能客服与人工服务对接，通过自然语言处理自动解答常见问题（如功能使用、账户异常等），在AI客服服务过程中，设置了常见问题的自动解答，帮助用户在答疑时无需输入即可得到回复，方便用户能够更好的对英语进行学习。  
3.4  需求分析
3.4.1  用户用例图
　　基于微信小程序的英语随时学系统的研究中，为了使得用户能够实现安全注册并确保每位注册的用户能够安全登录并将初始化个人信息，设计了个人信息展示板块，该板块展示用户对于单词学习的喜欢个数、收藏个数、排名个数、获得积分的数量以及用户在单词消消乐游戏板块中所闯关的数量，以及展示当前用户所处于的学习阶段、用户所属于的用户种类，用户还可以自定义上传头像，丰富用户的学习体验。
　　随后的单词学习模块，用户打卡流程设计模块，个性化词库模块，单词消消乐模块，文章阅读模块，学习数据模块，个人信息模块，单词测试模块以及学习笔记模块则是该平台生态的核心内容，上述模块支持用户进行单词的学习，包括对单词的点赞、收藏、页面跳转、单词查询、标记认识以及标记学习的多种用户行为；支持用户进行每日多次打卡并且对今日打卡记录的查看，查询以及删除操作；支持用户对自己该阶段的全部单词，收藏的单词以及喜欢的单词进行查看；支持用户利用自己的碎片化时间进行单词匹配闯关的游戏；支持用户在图书角进行英语文章的阅读；支持用户查看个人的学习数据包括今日是否已完成打卡、积分排名前十的用户、学习进度排名前十的用户以及个人本周的学习进度情况；支持用户对个人信息进行修改，对于用户编码，积分以及IP属地不能进行修改操作，对于用户头像，用户年龄，用户昵称，用户邮箱，用户电话等信息进行自定义的修改；支持用户对单词进行每次10/20/30的测试；支持用户对今日的学习情况或者生活情况进行笔记的书写即可以增加一条笔记记录，用户可以对过往笔记进行查询，查看，删除以及修改的过程。如上的阐述即为整个系统的核心学习模块，帮助用户更好的体验该系统。除此之外，在该系统中也使用了科大讯飞的SparkPro模型进行AI文本对话以及实现多轮对话，对于VIP用户，可以使用科大讯飞提供的语音评测接口来实现对自己发音情况的评测。具体用例分析如图3.1所示，功能的详细描述见表3.1。

图3.1  用户用例图

表3.1  用户用例描述[zx1]
用例名用例描述注册、登录及忘记密码账号信息存入数据库，生成UserToken，实现安全认证单词学习支持单词点赞、收藏、页面跳转、查询、标记认识和标记学习行为用户打卡实现每日多次打卡，支持打卡记录查看、查询和删除操作个性化词库管理用户各阶段单词库，展示收藏单词和喜欢单词列表单词消消乐提供单词匹配闯关游戏，记录用户闯关进度文章阅读支持英语文章在线阅读功能学习数据统计展示今日打卡状态、积分/进度排行榜、个人本周学习进度个人信息管理允许修改头像/年龄/昵称/邮箱/电话等非敏感信息，固定用户编码/积分/IP属地单词测试提供10/20/30题量可选的自测功能学习笔记支持创建每日笔记，提供历史笔记的增删改查功能英语发音评测VIP用户上传发音的mp3格式，进而执行AI评测AI客服用户输入相关问题客服给予解答　　
3.4.2  用户主页模块图
　　在用户进行成功注册并完成登录认证后，系统的交互流程将会来到下一个阶段，当用户进入系统首页后，用户可以点击我的-个人资料，用户即可完成对主页内容展示的查看，对于主页的模块设计主要是依赖于不同用户之间的主页设计，对于普通用户和会员用户的主页设计是有区分的，对于VIP用户的主页中需要隐藏VIP积分兑换的功能，并在页面上显示VIP的标识，并启用VIP用户的特有模块即英语发音评测功能模块以及单词测试的精准推荐功能；对于普通用户则会在主页上显示普通用户的标识，并显示利用5000积分进行VIP兑换的功能；以此来提高用户的学习兴趣，激发用户的英语学习兴趣，帮助用户提高英语学习的能力，丰富用户对英语的探索途径。具体用例分析如图 3.2 所示，功能的详细描述见表 3.2。



图3.2  用户主页用例图
　　
表3.2  用户主页用例描述
用例名用例描述普通用户主页展示显示用户基础信息（昵称、头像、学习数据）、普通用户标识，并提供 5000积分兑换VIP 的功能入口VIP用户主页展示显示VIP专属标识，隐藏积分兑换入口，并启用 英语发音评测 和 单词测试精准推荐 等VIP特权功能VIP积分兑换普通用户消耗5000积分升级为VIP，更新用户权限并隐藏兑换入口英语发音评测（VIP专属）提供基于AI的发音评分和纠正建议，仅对VIP用户开放单词测试精准推荐（VIP专属）根据用户学习数据智能推荐测试内容，提升学习效率，仅对VIP用户开放
3.4.3  错题集用例图
　　用户的错题集模块主要功能就是帮助用户处理单词测试或者每日打卡过程中出现的一些错题，帮助用户精准化的对错题进行学习，同时进行相应的处理。可完成的处理包括：用户可以根据自己的学习情况在错题集模块中点击合适的内容进行查看，如果需要继续学习该单词的信息，则点击单词详情进行学习即可；如果对于该单词已经掌握了，那么用户可以点击标记"掌握"，因此这个单词将不会再出现在单词测试或者每日打卡的题目中。具体用例分析如图 3.3 所示，功能的详细描述见表 3.3。

图3.3  错题集用例图
　　
表3.3  错题集用例描述
用例名用例描述查看错题列表展示用户在单词测试或打卡中答错的单词，按错误次数或时间排序点击单词详情跳转至单词学习页（含释义/例句/发音），支持收藏或再次练习标记为已掌握将单词从错题集中移除，后续测试和打卡不再重复推荐该单词错题自动归类系统根据错误类型（拼写/释义/用法）自动分类，便于用户针对性复习（后台逻辑）　　

3.4.4  默写用例图
　　对于默写模块的设计，主要的核心功能就是章节划分，章节默写，默写报告生成。其中章节划分步骤主要是根据用户当前的学习水平获取单词，并将这些单词进行每章节20个的划分；划分完成后，用户可以点击开始默写即可进入章节默写界面；章节默写完成后点击提交即可生成默写单词的报告，帮助用户回顾自己的学习情况，提高自己学习的上限。具体用例分析如图 3.4 所示，功能的详细描述见表 3.4。

图3.4  错题集用例图
　　
表3.4  错题集用例描述
用例名用例描述章节划分系统根据用户学习水平固定分组单词个数（20个/章），支持手动调整分组即10/20/30开始章节默写进入默写界面，展示当前章节单词（隐藏释义），支持拼写输入提交默写结果提交用户输入的默写答案，触发系统批改生成默写报告系统生成包含正确率、易错词、默写用时的分析报告　　
3.4.5  管理员用例图
　　在基于微信小程序的英语随时学系统中，系统管理员作为整个系统后台管理的关键环节，其包含着对首页信息管理，客户端用户管理，资源管理中包括有有英语单词管理，英语文章管理，数据可视化分析模块管理以及个人信息管理。这个过程主要是系统管理员通过后台显示的数据作为决策条件来优化整个系统，确保系统平台的质量与安全。
